script,writer_id,writer_key,image_path,file_name,is_genuine,sample_index,split
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-01.tif,B-S-4-G-01.tif,1,1,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-02.tif,B-S-4-G-02.tif,1,2,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-03.tif,B-S-4-G-03.tif,1,3,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-04.tif,B-S-4-G-04.tif,1,4,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-05.tif,B-S-4-G-05.tif,1,5,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-06.tif,B-S-4-G-06.tif,1,6,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-07.tif,B-S-4-G-07.tif,1,7,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-08.tif,B-S-4-G-08.tif,1,8,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-09.tif,B-S-4-G-09.tif,1,9,test
bengali,4,bengali_004,/Users/shuvashishmondal/Library/CloudStorage/GoogleDrive-smondal@nd.edu/My Drive/1. ND/1. PhD courses/Spring 26/Project/cedar-bhsig260/BHSig260-Bengali/BHSig260-Bengali/4/B-S-4-G-10.tif,B-S-4-G-10.tif,1,10,test
